u,y,fitness,correlation,n,m,k,threshold,theta,fitScale,thrScale,valid
C03_MV,FI310_F,0.8128054264614792,-0.9012,2,1,1,0.1610860875040719,"+1.6787373750054906,-0.9135516961994496,+0.3167971309100199,-0.2392991030260230,-3.101527432675607",1.0,1.1,1
C03_MV,FIC101_MV,0.8987194187210016,0.9345,0,1,2,5.357218018989355,"+0.5042531995922148,+1.7988053882117967,-125.728191824012085",1.0,1.1,1
C03_MV,FIC103_MV,0.997062343061289,0.9936,2,1,0,0.0338293163325645,"-0.0500885479724587,-0.0094221876129461,+0.9461410423652071,+0.1133685970368086,+0.000109235649577",1.0,1.1,1
C03_MV,FIC201_MV,0.7462039537826598,0.9936,2,1,0,1.412678309618976,"+1.7252625706137197,-0.9025765409692506,+1.2348882010218176,-0.8326947909165860,-21.663976632973426",1.0,1.1,1
C03_MV,FIC201_PV,0.8312339283734249,0.9614,2,1,1,0.1342370751893406,"+1.6831609679339656,-0.9282157918376035,+0.2981484195674631,-0.2215384188954669,-4.006757173006604",1.0,1.1,1
C03_MV,FIC201_SV,0.8311105896325429,0.969,2,1,1,0.1353689939281068,"+1.6823293143389813,-0.9274724544188191,+0.2988134687432771,-0.2221770020356039,-4.008113175202601",1.0,1.1,1
C03_MV,LIC201_MV,0.746045474213771,0.9836,2,1,0,1.3886599770513226,"+1.7253695816271939,-0.9027397479658638,+1.2458441117560435,-0.8435184133627814,-21.671246317612673",1.0,1.1,1
C03_MV,PI106_P,0.8784260247983358,0.5285,2,1,0,5.275093328520126,"+0.4890731761672437,-0.0506780771386729,-24.2659341791338292,+24.3553672017913456,+434.531371323914697",1.0,1.1,1
C03_MV,PIC101_MV,0.9971315283420816,0.0778,2,0,0,0.0325731574383305,"+0.0514362057115683,-0.0133623323112881,+0.9619386977376719,-0.001072483772982",1.0,1.1,1
C03_MV,TIC104_MV,0.8315745134922661,0.9821,1,1,0,16.495974815831275,"+0.9737580115973640,-3.2485415516324632,+3.1298596697118741,+10.891131699735758",1.0,1.1,1
C03_MV,TIC402_MV,0.710845874190975,0.9175,1,1,0,4.935975656771723,"+0.7785308147765941,+0.1814614751459698,+0.3003988893453380,-26.026981094709761",1.0,1.1,1
C05_MV,C01_MV,0.9646721662429596,0.4823,1,1,1,0.6940161053195716,"+0.8643781719613766,+0.2465229745774726,-0.0975831960548552,-0.233760410906269",1.0,1.1,1
C05_MV,C03_MV,0.8782887288004453,0.9485,1,0,0,1.043295141108419,"+0.8942562301723733,+0.0497345254295462,+5.725009505161510",1.0,1.1,1
C05_MV,FI252_F,0.8567516630588827,-0.9317,1,1,0,0.3787972558764344,"+0.9215308089381320,+0.0813675236254354,-0.0721135262563789,+0.337528926395381",1.0,1.1,1
C05_MV,FI307_F,0.8676136422096605,0.9871,1,1,0,0.0218556464593572,"+0.9439139597381536,+0.0020173838244540,-0.0018162856505665,-0.004213017158908",1.0,1.1,1
C05_MV,FIC101_MV,0.9647869436936488,0.9118,1,1,2,1.1477175186373685,"+0.8805827844852271,+0.3711720139636420,-0.2402985359986292,-0.193318664552189",1.0,1.1,1
C05_MV,FIC101_PV,0.9565425763420604,0.9759,2,1,0,0.0648581869228678,"+0.5386858791613623,+0.3073818837301401,+0.0107483991995778,-0.0076822302640436,+0.000567263263511",1.0,1.1,1
C05_MV,FIC101_SV,0.99194536263928,0.9887,2,1,0,0.0040317115803914,"-0.0411596466846612,-0.0159550342234109,+0.0187705048755979,+0.0023768112191217,-0.000231830026589",1.0,1.1,1
C05_MV,FIC102_PV,0.8754844385463123,0.9489,1,1,0,0.2970585026241885,"+0.9150485237753820,+0.0747566878298830,-0.0647870681829302,+0.146940019887303",1.0,1.1,1
C05_MV,FIC103_MV,0.8794039110745483,0.9893,1,0,0,1.019457520198604,"+0.8938840750731263,+0.0499181269602205,+5.744754101363687",1.0,1.1,1
C05_MV,LIC101_MV,0.8160238471691853,0.8808,1,1,0,1.7902548428540777,"+0.9086627238704690,+0.3479158672424769,-0.2985901679226015,+0.608230275273286",1.0,1.1,1
C05_MV,PIC101_MV,0.8787684974293457,0.9076,1,0,0,1.0408113036821902,"+0.8942251725537543,+0.0497545801047112,+5.726416735738157",1.0,1.1,1
C05_MV,QI102_Q,0.7520038982753448,0.9666,2,0,0,0.1012758269950032,"+0.4712171579861876,+0.1467610043086455,+0.0054868218699275,-0.117795149553138",1.0,1.1,1
C05_MV,QI102_Qs,0.8619724977594388,0.9625,1,1,0,0.0940713926374477,"+0.9572549394439339,+0.0097179144021257,-0.0091197530743260,-0.012415502925626",1.0,1.1,1
C05_MV,QI302_Q,0.8852489555644077,0.9828,1,1,0,0.1519862704108161,"+0.9093035885227718,+0.0072619634035290,-0.0055661456901329,-0.039018647469950",1.0,1.1,1
C05_MV,QI302_Qs,0.8613918260099245,0.9825,1,1,0,0.1193104315444956,"+0.9577012981316501,+0.0125696697078331,-0.0118160832976535,-0.016467089377377",1.0,1.1,1
C05_MV,QIC101_MV,0.993210113934758,-0.8154,2,0,0,0.2014565730329782,"+0.0399091964157147,-0.0097958899153525,+0.9700661868547557,-0.010145700542367",1.0,1.1,1
C05_MV,QIC102_PV,0.7520958712416099,1.0,2,0,0,0.0957626129620313,"+0.4688069047801635,+0.1486000640542574,+0.0054977302647964,-0.118097474522877",1.0,1.1,1
C05_MV,QIC102_SV,0.7520068386730645,0.9625,2,0,0,0.0958172884913538,"+0.4683298230547911,+0.1487311029307972,+0.0055025853591602,-0.118199314424278",1.0,1.1,1
C05_MV,TI101_T,0.8336046797502996,0.8997,2,1,0,5.30981736370912,"+0.5801194036887788,+0.3337365543608484,+0.6194693837896209,-0.5591160804915097,+5.168567273513965",1.0,1.1,1
C05_MV,TI105_T,0.8356759128338297,0.9816,1,1,0,7.797821486633903,"+0.9179604474168709,+0.2652633967002848,-0.2154062048998217,+10.353804132923849",1.0,1.1,1
C05_MV,TIC104_MV,0.804103818654641,0.9806,2,1,0,15.538041196677788,"+1.3233768698620194,-0.3467379721294340,-0.5132951905348140,+0.4635424465551157,+3.979493542755094",1.0,1.1,1
C06_MV,C05_MV,0.7109499196289797,0.9613,0,1,0,14.86714076007831,"+0.5297070675364691,+0.3417762664093456,+2.683231145044882",1.0,1.1,1
C06_MV,FI310_F,0.8277672603192892,-0.8909,0,1,0,0.6722709049780256,"+0.1192068895515066,+0.0237631601183986,+4.695135336895329",1.0,1.1,1
C06_MV,FIC101_PV,0.7170621659240505,0.9453,0,1,1,0.2436892892737761,"+0.0082111268598314,+0.0088276605159995,+0.073175737632107",1.0,1.1,1
C06_MV,FIC101_SV,0.710778010020015,0.9563,0,1,0,0.2975844422391264,"+0.0104308204829585,+0.0070024738269572,+0.053485487559976",1.0,1.1,1
C06_MV,FIC102_PV,0.7443345115173621,0.8962,0,1,0,0.9982069228640852,"+0.0663819483472830,+0.0388003044896409,+1.900522767111273",1.0,1.1,1
C06_MV,FIC201_MV,0.9972407076080072,0.9656,2,0,0,0.0772197581367305,"+0.0705213434668263,-0.0165698951784654,+0.9459812418314867,+0.003306721516385",1.0,1.1,1
C06_MV,FIC201_PV,0.871046947554248,1.0,2,1,0,0.0630748889125155,"+1.1676470404275696,-0.1736444752277644,+0.1197035420652082,-0.1189253542159218,+0.004967710017252",1.0,1.1,1
C06_MV,FIC201_SV,0.8708533764965054,0.9906,2,1,0,0.0619774396043421,"+1.1663692240137642,-0.1724358504708240,+0.1198700359047637,-0.1190804969728008,+0.004909592310303",1.0,1.1,1
C06_MV,FIC404_PV,0.7083205883006631,0.9173,1,1,1,0.5850472323581118,"+0.6149567974011438,+0.1605392292294774,-0.1335387979143384,+1.349247196841426",1.0,1.1,1
C06_MV,FIC404_SV,0.7083228867507154,0.9361,1,1,1,0.5851719214559523,"+0.6148951662145890,+0.1605559273281651,-0.1335517194881018,+1.349489623686611",1.0,1.1,1
C06_MV,LIC101_MV,0.7469917954200359,0.9361,2,0,0,1.8386913800140812,"+1.7287402405153900,-0.8185861263402285,+0.0424115418862790,+0.721850372775577",1.0,1.1,1
C06_MV,LIC201_MV,0.9976965659976348,0.95,2,0,0,0.0679653214597483,"+0.0529507560941446,-0.0128513614235278,+0.9598511976666358,+0.002176379234600",1.0,1.1,1
C06_MV,QI302_Q,0.7216612563871443,0.9675,0,1,0,0.1938596970030023,"+0.0095316797054646,+0.0067030182174091,-0.376890173497451",1.0,1.1,1
C06_MV,QIC101_MV,0.7111780721305676,-0.7725,0,1,0,14.878866969716267,"+0.5250625024750039,+0.3466634881994191,+2.669249707281408",1.0,1.1,1
C07_MV,ALARM_TOTAL,0.7809763041303107,0.9154,2,1,1,46.6384854735564,"+1.8950241140785191,-0.8952363850384023,-0.0245134958668372,-0.0360619431353057,+3.305491957911274",1.0,1.1,1
C07_MV,FIC251_MV,0.9949742774627794,0.1945,2,0,0,0.1662686196661467,"+0.0630848027971447,-0.0114647287547205,+0.9497551629017047,-0.040593620805649",1.0,1.1,1
C07_MV,FIC251_PV,0.9837008916318242,0.9999,2,0,0,0.1588495603358244,"+0.1607248976097047,-0.0355959916535678,+0.0761242224133591,+0.126571153132538",1.0,1.1,1
C07_MV,FIC251_SV,0.9837077565685028,0.9992,2,0,0,0.1587738505293284,"+0.1602579063303485,-0.0355115202922260,+0.0761569912997323,+0.126639816492284",1.0,1.1,1
C07_MV,LIC251_MV,0.995803092684401,0.9992,2,0,0,0.1468002658498918,"+0.0458666078155976,-0.0083376622889791,+0.9635000561669695,-0.029872063389876",1.0,1.1,1
C10_MV,FIC303_MV,0.994709120434318,0.1786,2,0,0,0.6649815888626819,"+0.0354210411462068,-0.0160172872392467,+0.9805637086545557,+0.001645067886528",1.0,1.1,1
C10_MV,FIC303_PV,0.9811561501973324,1.0,2,1,0,0.2812981227242268,"+0.6646644485056366,-0.0486353246112897,+0.0931224380488776,-0.0576945321273680,+0.050587861321459",1.0,1.1,1
C10_MV,PIC301_MV,0.9956852071354764,-0.3975,2,0,0,0.5813172466827748,"+0.0252128459982007,-0.0119280783779566,+0.9866716084669366,+0.000863873879529",1.0,1.1,1
C11_MV,ALARM_TOTAL,0.7467074465030801,1.0,2,0,0,47.012077917460154,"+1.8994924348218030,-0.8996894927253207,-0.1342443830023822,+10.924769229006027",1.0,1.1,1
C11_MV,FIC304_MV,0.9919818498432184,0.602,2,0,0,0.074867989389719,"+0.0549351659418321,-0.0076090900011832,+0.9541550697917940,-0.105086387172170",1.0,1.1,1
C11_MV,LIC301_MV,0.9929570868781368,0.6011,2,0,0,0.0693340293545049,"+0.0431419433165968,-0.0064632220487578,+0.9642567754978476,-0.066455977064485",1.0,1.1,1
C11_MV,LIC301_PV,0.8636237503342544,0.9999,1,1,0,0.2120841031834321,"-0.1032993048020658,+0.7175480308484813,-0.7209520449166691,+55.405527887780955",1.0,1.1,1
C14_MV,ALARM_TOTAL,0.7002039958682171,0.6015,2,1,2,46.80836907889827,"+1.9101207761376013,-0.9103263174854481,+0.0736666299963147,-0.0972085482939506,+3.279938649214829",1.0,1.1,1
C14_MV,FIC401_MV,0.978675827465824,0.3647,2,1,0,0.4798424131825278,"+0.0308537834899269,-0.0229241787835848,+0.9257947962349242,+0.0655732973454127,+0.053648127757903",1.0,1.1,1
C15_MV,FIC402_MV,0.9918310934015804,0.9434,2,0,0,0.2403730807294153,"+0.0675154701914813,-0.0183125154235549,+0.9507415726534941,+0.003394682795426",1.0,1.1,1
C15_MV,FIC402_PV,0.9806919039532548,0.9999,2,1,0,0.0320134318646177,"-0.0816787186240334,-0.0303858727531030,+0.0494428279195428,+0.0135747190335438,+0.107418072303669",1.0,1.1,1
C15_MV,FIC402_SV,0.980613406470882,0.9995,2,1,0,0.0320602040753266,"-0.0804950790537809,-0.0301089117481094,+0.0494784097437104,+0.0134589454855487,+0.107115965620857",1.0,1.1,1
C15_MV,LIC402_PV,0.8239897277587519,0.9185,1,1,0,0.6663502467477705,"-0.1489751026811656,+0.7147080962807182,-0.7155240134875118,+57.502214092300768",1.0,1.1,1
C15_MV,LIC402_SV,0.8231784723093925,0.0815,1,1,0,0.7181224776954078,"-0.1493374647597148,+0.7150791353809218,-0.7158588497374353,+57.517706325258593",1.0,1.1,1
C15_MV,LIC402B_MV,0.992790215993796,0.0816,2,0,0,0.2325108169818037,"+0.0559157422997218,-0.0154291474330099,+0.9595404123235596,-0.002902082281589",1.0,1.1,1
C15_MV,LIC402B_PV,0.8239323490667709,0.9999,1,1,0,0.6665192327350635,"-0.1487205194953585,+0.7145774508881785,-0.7153852244788922,+57.488982082227991",1.0,1.1,1
C15_MV,QI404_Q,0.7040375655430735,0.9275,2,0,2,61.32272368701925,"+1.2038449862696039,-0.2269513986925243,-0.3458439955937534,+35.644183490261205",1.0,1.1,1
C15_MV,QI404_Qs,0.7028746341700223,-0.7854,2,1,0,70.17738933569898,"+1.1959292632569281,-0.2183179715329902,+0.0307724659090407,-0.3628234080349780,+34.339498374980642",1.0,1.1,1
C16_MV,FIC403_MV,0.9677734717033588,0.9094,2,0,0,0.0361608600784578,"+0.0496354300127882,-0.0114876280652849,+0.9755052125219777,-0.991174544056752",1.0,1.1,1
C16_MV,LIC402_MV,0.9709861756284536,0.9987,2,0,0,0.0326156677397812,"+0.0439893244969187,-0.0101502400577742,+0.9783316579664201,-0.883569689861606",1.0,1.1,1
C17_MV,ALARM_TOTAL,0.7091849805890282,1.0,2,0,0,47.143919592808416,"+1.8854507431746570,-0.8856935813709712,-0.0557770403311230,+5.259205476657772",1.0,1.1,1
C17_MV,FIC404_MV,0.99547818438513,0.1798,2,0,0,0.2684879104270603,"+0.0671490286614171,-0.0201002881044252,+0.9532009506174438,-0.015972166300096",1.0,1.1,1
C17_MV,LIC401_MV,0.9961252125598268,0.9999,2,0,0,0.2272517076535184,"+0.0568226784456580,-0.0169513478600519,+0.9603612355974941,-0.014998320117992",1.0,1.1,1
C17_MV,LIC401_PV,0.8961573881678595,1.0,2,1,0,0.7784724155577439,"-0.2532068067126373,+0.0921110609866693,+0.7576619562058247,-0.7593944461202283,+58.167181362955673",1.0,1.1,1
C18_MV,FIC401_PV,0.9420949646769302,0.8976,2,1,0,0.0475344302892593,"-0.0631328216197809,-0.0258884305644768,+0.0797782443742425,+0.0289021239647193,+0.016190470336639",1.0,1.1,1
C18_MV,FIC401_SV,0.9937164161348347,0.9981,2,0,0,0.0071611866123722,"+0.0457405317369499,-0.0093203621680393,+0.0963659058118377,-0.000601288027451",1.0,1.1,1
C18_MV,QIC401_MV,0.9953148509581428,0.9237,2,0,0,0.0564518406194118,"+0.0220692833858510,-0.0029425991007052,+0.9808686721790657,+0.000259330328724",1.0,1.1,1
C18_MV,TIC401_MV,0.995159178901362,0.9224,2,0,0,0.0560870550108888,"+0.0252736465972445,-0.0039582728818255,+0.9787249206069715,-0.003071910302114",1.0,1.1,1
FI105_F,C01_MV,0.8398722922435787,0.8771,1,1,1,1.4179958696604236,"+1.0002221315318787,-0.2519559824149769,-0.7302714363544186,+25.462573404548994",1.0,1.1,1
FI105_F,FIC101_MV,0.8476763774182114,0.4268,1,1,1,1.4277102123411147,"+1.0002537018158537,-0.2552721473080891,-0.7261155032492707,+25.439232742738834",1.0,1.1,1
FI105_F,FIC101_PV,0.7084563886463604,0.0531,2,1,0,0.0420451952320081,"+0.8286698476849446,+0.1710286489624744,-0.0458127687803113,+0.0270392880684182,+0.487151404922912",1.0,1.1,1
FI106_F,C02_MV,0.7020036488649548,-0.1091,2,1,0,3.6249918226233975,"+0.9135293229856362,+0.0766487066118362,-0.9630797107903621,+0.2327295774175873,+18.766934168937833",1.0,1.1,1
FI106_F,FIC101_MV,0.8811837910458302,-0.3091,1,1,1,1.4210860102991287,"+0.9933265453396706,-0.3306358418054435,-0.5793478154481413,+23.462769483780448",1.0,1.1,1
FI106_F,FIC101_PV,0.818659266073923,-0.1801,2,0,0,0.0807731777819319,"+0.8026658038614047,+0.1876084622429109,-0.0193001743556434,+0.499668313401429",1.0,1.1,1
FI106_F,FIC102_MV,0.7027393074550164,-0.3542,2,1,0,3.377380861391264,"+0.9367020957215488,+0.0534371757807757,-0.9589814990842536,+0.2231227263914920,+18.908244576518178",1.0,1.1,1
FI106_F,FIC102_PV,0.7192476624681114,-0.2703,2,1,0,0.5098527195583791,"+0.7010580878383372,+0.2840155425708383,-0.2142429076866271,+0.0670355130889950,+3.849249092568058",1.0,1.1,1
FI106_F,QI302_Q,0.7213834989364617,-0.43,2,1,1,0.1174168812038217,"+0.9758302086799086,+0.0153629795241342,-0.0363205675935612,+0.0220914774410671,+0.365568351383873",1.0,1.1,1
FI107_F,ALARM_TOTAL,0.8961534881891139,1.0,2,0,1,47.492200742883206,"+1.7761154640490369,-0.7762669071013552,+2.3995016770229531,-49.783061197069614",1.0,1.1,1
FI107_F,C03_MV,0.9110973810402764,-0.9066,1,0,0,0.4744102143167098,"+0.9341390938822134,-0.3647371198979224,+12.820198947981268",1.0,1.1,1
FI107_F,C05_MV,0.8490715445723379,-0.9119,2,1,0,2.1630087698958285,"+1.4851696442414519,-0.5224282239690747,-2.0562129689448301,+1.6283526321478552,+10.898768287871103",1.0,1.1,1
FI107_F,FI252_F,0.8671385999013999,0.9958,1,1,1,0.4133999100214381,"+0.9274817271332879,-0.3393235213670620,+0.2411668684029730,+2.812403461950925",1.0,1.1,1
FI107_F,FI307_F,0.8517269045479026,-0.9442,2,1,0,0.0156734610549206,"+0.4174443777749415,+0.5387116740643523,-0.0165500149465430,+0.0146138090957157,+0.045500704623608",1.0,1.1,1
FI107_F,FIC101_SV,0.8486226375802064,-0.9138,2,1,0,0.0416484890066712,"+1.4936896267236959,-0.5302822993615226,-0.0417807707761918,+0.0333552463594702,+0.214535443919939",1.0,1.1,1
FI107_F,FIC102_PV,0.8996072612855144,-0.9069,2,1,0,0.3630651096359859,"+0.5604349816698868,+0.3306958806159537,-0.3484910578442066,+0.1970048662388716,+4.027923832645508",1.0,1.1,1
FI107_F,FIC102_SV,0.9093016898795938,-0.9437,1,1,0,0.2549652126067667,"+0.9439831156805560,-0.4280481194529371,+0.3482666329225365,+2.111881133687561",1.0,1.1,1
FI107_F,FIC103_MV,0.9111914726147208,-0.9495,1,0,0,0.4543264392686496,"+0.9342069996664715,-0.3645821526405015,+12.811711443497742",1.0,1.1,1
FI107_F,FIC103_PV,0.909221775454092,-0.9114,1,1,0,0.0480180867750318,"+0.9440439483746920,-0.0803276746785836,+0.0653835082004421,+0.395581833309714",1.0,1.1,1
FI107_F,FIC103_SV,0.9092017058562036,-0.9495,1,1,0,0.0479360871506738,"+0.9440467764889729,-0.0803225297046966,+0.0653793862792019,+0.395555999540851",1.0,1.1,1
FI107_F,PI106_P,0.8602988032753284,-0.4997,2,1,0,2.829032537044532,"+0.8837697332091587,+0.0529502034404703,+14.8806752445476160,-14.9434843606424632,+51.072960974837108",1.0,1.1,1
FI107_F,PIC101_MV,0.9111499503826688,0.326,1,0,0,0.4735746610752827,"+0.9341598497780534,-0.3647610754444610,+12.819120222794863",1.0,1.1,1
FI107_F,PIC101_PV,0.7526169939578093,-0.9116,2,1,0,4.71038555739724,"+0.7641719339916561,+0.1589810648614652,+15.7040251918967737,-15.6753705630472684,+67.393641398862755",1.0,1.1,1
FI107_F,PIC201_MV,0.8523343549994342,-0.9229,2,1,0,0.7263795705087184,"+0.8934826229682149,+0.0378554522035683,+2.6287369240952487,-2.5773272138020173,+5.192672359498153",1.0,1.1,1
FI107_F,PIC301_PV,0.7242707413824787,0.8163,2,1,0,5.487243087716763,"+0.7187930247973434,+0.2063111811828003,+16.2863632800864728,-16.3586322012922487,+68.365073096278521",1.0,1.1,1
FI107_F,PIC301_SV,0.723293141876598,0.2447,2,1,0,5.513592638596885,"+0.7172241911307918,+0.2078153304293116,+16.2835289201853541,-16.3557842710350840,+68.422528650206061",1.0,1.1,1
FI107_F,QI102_Qs,0.8835748888127738,-0.901,2,1,0,0.0185421888330473,"+0.6755509272535084,+0.2843215798622524,-0.0690086610787617,+0.0619055769264677,+0.166650907245200",1.0,1.1,1
FI107_F,QI105_Qs,0.8303392262579619,-0.9372,1,1,0,0.2378620627359205,"+0.9253601962545329,-0.7671087623407318,+0.6321712703217652,+3.680749689818597",1.0,1.1,1
FI107_F,QI302_Qs,0.8968774534823392,-0.9247,2,1,0,0.0223216973068555,"+0.6731738811223825,+0.2846247159014341,-0.0887313000158891,+0.0792143137583268,+0.222449034270314",1.0,1.1,1
FI107_F,QIC101_MV,0.8488826613559196,0.73,2,1,0,2.131167441978405,"+1.4815700537565164,-0.5196238792456662,-2.0685953141564934,+1.6309614081376476,+11.145026220512058",1.0,1.1,1
FI107_F,TIC102_MV,0.7841474832067067,-0.9334,1,1,0,1.5385189427222306,"+0.8597331465747049,+1.9730061826514589,-1.2548981711570941,-10.305841866260282",1.0,1.1,1
FI202_F,ALARM_TOTAL,0.8909569942482566,-0.8451,2,0,1,47.008785643301934,"+1.7770326750181000,-0.7771832036930787,+2.5380193235477866,-54.580531822972737",1.0,1.1,1
FI202_F,C03_MV,0.904831880471069,-0.8969,2,0,0,0.5084177877310992,"+1.0171224520464976,-0.0738806553277759,-0.3351301063896977,+11.734580647409206",1.0,1.1,1
FI202_F,C05_MV,0.8394773182945241,-0.9007,1,1,0,2.8149861814727912,"+0.8981609916268379,-1.7314872089065603,+0.4753318095209311,+32.548159748552457",1.0,1.1,1
FI202_F,FI107_F,0.9234936598100368,0.4381,0,1,0,0.3546508209327097,"+0.7972789142378711,+0.2581596896384163,-1.945016857225198",1.0,1.1,1
FI202_F,FIC101_SV,0.8392673479238357,-0.9026,1,1,0,0.0558566497176296,"+0.8978493967742386,-0.0343135961366857,+0.0090924521010911,+0.653422401938689",1.0,1.1,1
FI202_F,FIC102_PV,0.8896816050506481,-0.8968,2,1,0,0.4012766431973076,"+0.6001797804500024,+0.2930757844131507,-0.2586232849649875,+0.1016300657609644,+4.243278824034364",1.0,1.1,1
FI202_F,FIC102_SV,0.8988820543240612,-0.9339,1,1,0,0.5545380581349495,"+0.9325717232736599,-0.2976183145843863,+0.1977522835579113,+2.695778921118483",1.0,1.1,1
FI202_F,FIC103_MV,0.9049522225079352,-0.9399,2,0,0,0.4934081826889049,"+1.0202374087283455,-0.0767933796302753,-0.3341258925585726,+11.696965397306135",1.0,1.1,1
FI202_F,FIC103_PV,0.8988142044507424,-0.9001,1,1,0,0.1043470090433868,"+0.9325733215770120,-0.0557946862016093,+0.0370704668749624,+0.505447078679443",1.0,1.1,1
FI202_F,FIC103_SV,0.8987710213964694,-0.9399,1,1,0,0.1043237137901562,"+0.9325591447988648,-0.0557587191646427,+0.0370315089683301,+0.505532248163199",1.0,1.1,1
FI202_F,PIC101_MV,0.9049176933426164,0.3419,2,0,0,0.5114420437988322,"+1.0185766147234103,-0.0752449562711421,-0.3347246627053223,+11.718762222582020",1.0,1.1,1
FI202_F,QI102_Qs,0.877628235510645,-0.89,2,1,0,0.0661023891161624,"+0.7716674783270657,+0.1818392682925912,-0.0458804401804004,+0.0374450854975248,+0.203531228579535",1.0,1.1,1
FI202_F,QI105_Qs,0.8267763404568136,-0.9269,1,1,0,0.3704136590716798,"+0.9217175849763951,-0.6805349044661099,+0.5297157032031999,+4.167787275455581",1.0,1.1,1
FI202_F,QI302_Qs,0.8888392422304133,-0.914,2,1,0,0.0834625076854737,"+0.7738368032452239,+0.1778663551081512,-0.0594204133440573,+0.0482378066033468,+0.268824265281757",1.0,1.1,1
FI202_F,QIC101_MV,0.8394491665734685,0.7206,1,1,0,2.8456089776164246,"+0.8975136884689681,-1.7111306434801536,+0.4467272020515418,+32.760629146585415",1.0,1.1,1
FI252_F,C01_MV,0.8990632774331268,0.4767,2,1,0,0.7309527074150001,"+1.6858986346456510,-0.7260867922592648,+0.4677667830186020,-0.1080045920549602,-1.538390402290126",1.0,1.1,1
FI252_F,C02_MV,0.7222288795399857,0.976,0,1,0,5.530342240123976,"+3.5744129245585148,+2.7593262139094978,-41.156217143425948",1.0,1.1,1
FI252_F,C03_MV,0.9315012169869888,0.9601,1,0,0,1.1671318281529424,"+0.8378627860339731,+0.6308426730761127,+6.150140874926709",1.0,1.1,1
FI252_F,C06_MV,0.7373038952834401,0.9871,0,1,1,10.184829554338457,"+5.7195435482662145,+3.1250674525455886,-36.325412491619417",1.0,1.1,1
FI252_F,FI310_F,0.7910453364812945,-0.9338,2,1,0,0.2077057193705232,"+1.6675485255963087,-0.8836133347966366,+0.1905104344161035,+0.0862384714684971,-0.142048392392203",1.0,1.1,1
FI252_F,FIC101_MV,0.8983284780994606,0.92,2,1,0,0.6390226367851917,"+1.6970930064745202,-0.7363941111510446,+0.4466581604969539,-0.0950586178793576,-1.502194005013497",1.0,1.1,1
FI252_F,FIC101_PV,0.8722801229945656,0.9758,2,0,0,0.1023348032264991,"+0.9016973750253177,-0.0324764651858367,+0.0212846993904858,-0.086728073499851",1.0,1.1,1
FI252_F,FIC102_MV,0.7221753041857581,0.9871,0,1,0,5.574996730658575,"+3.3848001811628814,+2.9459984719531116,-41.134489935481191",1.0,1.1,1
FI252_F,FIC102_PV,0.9221083858918084,0.96,1,1,0,0.4770407654914943,"+0.6753024065124598,+0.5017177287053364,-0.1798148290543500,-0.816537025585281",1.0,1.1,1
